2025-10-25 14:43:47.740418 - T:27.2, H:92.1, C:1393.0, L:42.0
2025-10-25 14:43:57.725833 - T:27.2, H:92.2, C:1393.0, L:42.0
2025-10-25 14:44:07.845411 - T:27.2, H:92.2, C:1392.0, L:42.0
2025-10-25 14:44:17.721099 - T:27.2, H:92.2, C:1394.0, L:42.0
2025-10-25 14:44:27.742183 - T:27.3, H:92.2, C:1393.0, L:42.0
2025-10-25 14:44:37.790564 - T:27.2, H:92.2, C:1393.0, L:42.0
2025-10-25 14:44:47.932461 - T:27.2, H:92.2, C:1395.0, L:42.0
2025-10-25 14:44:58.522806 - T:27.2, H:92.1, C:1394.0, L:42.0
2025-10-25 14:45:08.459803 - T:27.2, H:92.2, C:1396.0, L:42.0
2025-10-25 14:45:17.785009 - T:27.3, H:92.2, C:1396.0, L:42.0
2025-10-25 14:45:27.826884 - T:27.2, H:92.2, C:1392.0, L:42.0
2025-10-25 14:45:37.915112 - T:27.2, H:92.3, C:1393.0, L:43.0
2025-10-25 14:45:47.795231 - T:27.2, H:92.2, C:1393.0, L:42.0
2025-10-25 14:45:57.804494 - T:27.2, H:92.3, C:1394.0, L:42.0
2025-10-25 14:46:07.795568 - T:27.2, H:92.2, C:1396.0, L:42.0
2025-10-25 14:46:17.788237 - T:27.2, H:92.2, C:1396.0, L:42.0
2025-10-25 14:46:27.886546 - T:27.2, H:92.2, C:1395.0, L:42.0
2025-10-25 14:46:37.850850 - T:27.3, H:92.2, C:1395.0, L:42.0
2025-10-25 14:46:47.774097 - T:27.2, H:92.3, C:1397.0, L:42.0
2025-10-25 14:46:57.762922 - T:27.2, H:92.2, C:1395.0, L:42.0
2025-10-25 14:47:07.956892 - T:27.2, H:92.2, C:1394.0, L:41.0
2025-10-25 14:47:17.933605 - T:27.2, H:92.3, C:1398.0, L:42.0
2025-10-25 14:47:27.778435 - T:27.3, H:92.3, C:1397.0, L:41.0
2025-10-25 14:47:37.800205 - T:27.3, H:92.3, C:1394.0, L:41.0
2025-10-25 14:47:47.792711 - T:27.2, H:92.3, C:1397.0, L:41.0
2025-10-25 14:47:57.949165 - T:27.2, H:92.2, C:1395.0, L:41.0
2025-10-25 14:48:08.188027 - T:27.3, H:92.2, C:1393.0, L:41.0
2025-10-25 14:48:23.628822 - T:27.3, H:92.3, C:1395.0, L:42.0
2025-10-25 14:48:42.507794 - T:27.2, H:92.3, C:1397.0, L:41.0
2025-10-25 14:48:46.455235 - T:27.2, H:92.3, C:1397.0, L:41.0
2025-10-25 14:48:50.690494 - T:27.2, H:92.4, C:1397.0, L:41.0
2025-10-25 14:48:57.797102 - T:27.2, H:92.4, C:1399.0, L:41.0
2025-10-25 14:49:07.898538 - T:27.2, H:92.3, C:1395.0, L:41.0
2025-10-25 14:49:17.856258 - T:27.3, H:92.4, C:1395.0, L:42.0
2025-10-25 14:49:28.043423 - T:27.3, H:92.3, C:1393.0, L:42.0
2025-10-25 14:49:37.827697 - T:27.2, H:92.3, C:1393.0, L:41.0
2025-10-25 14:49:54.446133 - T:27.2, H:92.4, C:1396.0, L:41.0
2025-10-25 14:49:59.120579 - T:27.2, H:92.3, C:1396.0, L:41.0
2025-10-25 14:50:07.795970 - T:27.2, H:92.3, C:1399.0, L:41.0
2025-10-25 14:50:20.911974 - T:27.2, H:92.4, C:1395.0, L:41.0
2025-10-25 14:50:28.061861 - T:27.2, H:92.4, C:1392.0, L:41.0
2025-10-25 14:50:37.884259 - T:27.2, H:92.4, C:1398.0, L:41.0
2025-10-25 14:50:47.834749 - T:27.3, H:92.4, C:1399.0, L:41.0
